"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
7931,"west or the West/abbr. for Spain 西班牙[Xī bān yá]/Spanish","西","西",,,"si¯"
9465,"whale","鯨","鲸",,,"king^'"
3287,"wharf/port/pier","埠","埠",,,"pu/"
4325,"what etc)/proof","憑","凭",,,"ping^'"
2104,"what or writing checks etc)/assorted/miscellaneous","什","甚",,,"xė˘"
1516,"where/how","焉","焉",,,"ien^"
5793,"where/how","焉","焉",,,"ien¯"
6425,"whetstone","硎","硎",,,"hing^"
6690,"whistle made of reed","笳","笳",,,"kia¯"
6288,"white","皫","皫",,,"piao\'"
9368,"white horse","驃","骠",,,"piao/'"
6286,"white/variant of 晰[xī]","皙","晰",,,"sie˘"
6830,"white/white silk","紈","纨",,,"huon^"
6831,"white/white silk","紈","纨",,,"hoan^"
8086,"who/also pr. [shuí]","誰","谁",,,"xui^"
3204,"whole/in one lump","囫","囫",,,"hȯ˘"
3662,"who/which/what","孰","孰",,,"xȯ˘"
6298,"why not","盍","盍",,,"ho˘"
3496,"wicked/crafty/traitor/variant of 姦|奸[jiān]","奸","奸",,,"kan¯"
3497,"wicked/crafty/traitor/variant of 姦|奸[jiān]","奸","奸",,,"kien¯"
6743,"wicker","篳","筚",,,"pie˘"
5778,"wick of an oil lamp/to burn (incense etc)/measure word for lit incense sticks","炷","炷",,,"chu̇\"
5779,"wick of an oil lamp/to burn (incense etc)/measure word for lit incense sticks","炷","炷",,,"chu ̇/"
3616,"widow","嫠","嫠",,,"li^"
3638,"widow","孀","孀",,,"xoang¯"
3907,"width/roll/classifier for textiles or pictures","幅","幅",,,"fȯ˘"
3908,"width/roll/classifier for textiles or pictures","幅","幅",,,"pie˘"
3566,"wife of a younger brother","娣","娣",,,"ti/"
3636,"wife of father's younger brother","嬸","婶",,,"xin\"
3522,"wife of the last ruler of the Xia dynasty","妺","妺",,,"mȯ˘"
3530,"wife or senior concubine of husbands older brother (old)/elder sister (old) or surname Si","姒","姒",,,"su̇\"
3523,"wife or to marry off (a daughter)","妻","妻",,,"çi¯'"
9029,"wild goose","雁","雁",,,"ien¯"
7662,"wild rose","[.]_576_7","薔",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=38890","çiang^'"
6968,"wind around","縈","萦",,,"iung^"
6969,"wind around","縈","萦",,,"ing^"
